epoch,train_loss,train_acc,train_macro_f1,train_time_sec,val_loss,val_acc,val_macro_f1,val_time_sec,best_val_macro_f1_so_far,improved,epochs_without_improvement
1,1.9060774339806377,0.4295343902134565,0.28936313549448356,53.939279556274414,1.0659299831904336,0.6626746506986028,0.4797522931446418,5.443990707397461,0.4797522931446418,True,0
2,0.8557876740006707,0.6453626263887156,0.5116200411849766,51.93202614784241,0.8294334575801552,0.6856287425149701,0.5552215524085529,5.242002487182617,0.5552215524085529,True,0
3,0.6031429968646903,0.7157658219947572,0.6244841669707796,52.038867473602295,0.7866905479136104,0.6916167664670658,0.5599910684704356,5.23981499671936,0.5599910684704356,True,0
4,0.47181320636850693,0.7633254275371364,0.6930227066225958,52.57058119773865,0.7373946160375477,0.7265469061876247,0.6101450718252316,5.2256739139556885,0.6101450718252316,True,0
5,0.38942587502870857,0.794657346149045,0.7358983775978499,52.55248022079468,0.6914812584599097,0.7285429141716567,0.6313422389095039,5.365803956985474,0.6313422389095039,True,0
6,0.34199991246731654,0.8193733616277619,0.7716982586948701,52.579991817474365,0.7684563460226307,0.7255489021956087,0.6262799863877195,5.2481842041015625,0.6313422389095039,False,1
7,0.2692263004667764,0.8447135189114967,0.8070255829063988,52.69837141036987,0.7295125276742581,0.7624750499001997,0.6628259367438071,5.2744481563568115,0.6628259367438071,True,0
8,0.23058376016985566,0.866932967170141,0.8232445255631965,52.46167206764221,0.6620175805753339,0.7614770459081837,0.7030557029391805,5.20918083190918,0.7030557029391805,True,0
9,0.22621005086055962,0.8668081388091374,0.814621886651282,52.6303334236145,0.7792530066952734,0.7524950099800399,0.6147225113857722,5.333827257156372,0.7030557029391805,False,1
10,0.2101699568358213,0.8802896017975284,0.8254731338093035,52.491530418395996,0.7577460488516413,0.7594810379241517,0.6608252927298468,5.322648286819458,0.7030557029391805,False,2
11,0.1730837290105622,0.8887779303457746,0.8587230445754087,52.285032749176025,0.7061338318203262,0.7694610778443114,0.6586987110997823,5.231052875518799,0.7030557029391805,False,3
12,0.17506239089741418,0.8967669454500062,0.855863235174959,52.38549590110779,0.7172750123068244,0.7914171656686627,0.6620572372742252,5.232788801193237,0.7030557029391805,False,4
13,0.15085418972964146,0.9091249531893646,0.8903513382586775,52.56529974937439,0.7319615420229183,0.7874251497005988,0.6821682671582019,5.271089315414429,0.7030557029391805,False,5
