experiment_name,run_dir,has_train_metrics,has_test_metrics,has_per_class_metrics,has_confusion_matrix,has_train_history,has_params,backbone,loss,class_weights,weighted_sampler,label_smoothing,scheduler,lr,weight_decay,epochs_requested,epochs_completed,stopped_early,early_stop_epoch,selection_metric,best_val_macro_f1,test_macro_f1,test_weighted_f1,balanced_accuracy,accuracy,mean_confidence,needs_review_rate,confidence_threshold,checkpoint_epoch,num_test_samples,run_name,evaluation_split,best_epoch_from_history,best_val_macro_f1_from_history,final_train_macro_f1,final_val_macro_f1,akiec_precision,akiec_recall,akiec_f1,akiec_support,bcc_precision,bcc_recall,bcc_f1,bcc_support,bkl_precision,bkl_recall,bkl_f1,bkl_support,df_precision,df_recall,df_f1,df_support,mel_precision,mel_recall,mel_f1,mel_support,nv_precision,nv_recall,nv_f1,nv_support,vasc_precision,vasc_recall,vasc_f1,vasc_support,mel_as_nv,mel_as_bkl,mel_as_bcc,bcc_as_nv,bcc_as_bkl,akiec_as_bcc,akiec_as_bkl,top_confusion_pair,top_confusion_count,final_lr
{},artifacts/runs/convnext_tiny_ep50_recipe_cb_focal,True,True,True,True,True,True,convnext_tiny,cb_focal,False,False,0.0,cosine_warmup,0.0001,5e-05,50,40,True,40,val_macro_f1,0.8107810736387656,0.7742594809796263,0.8637724468467155,0.7638349937590536,0.8672654690618763,0.939175546169281,0.0658682634730539,0.65,32,1002,convnext_tiny_epoch032_20260524_153431,data/splits/test.csv,35,0.8116390825789355,0.999557712699719,0.8001609436621147,0.6428571428571429,0.84375,0.7297297297297297,32,0.8545454545454545,0.9215686274509804,0.8867924528301887,51,0.84375,0.7363636363636363,0.7864077669902912,110,0.7777777777777778,0.5833333333333334,0.6666666666666666,12,0.6210526315789474,0.5267857142857143,0.5700483091787439,112,0.9191919191919192,0.9493293591654248,0.9340175953079178,671,0.9166666666666666,0.7857142857142857,0.8461538461538461,14,42,7,1,1,1,1,1,mel->nv,42,1.165243042870628e-05
{},artifacts/runs/convnext_tiny_ep50_recipe_cw,True,True,True,True,True,True,convnext_tiny,cross_entropy,True,False,0.05,cosine_warmup,0.0001,5e-05,50,28,True,28,val_macro_f1,0.7890940039006102,0.765368582178377,0.8529023724211164,0.8054410251432912,0.8542914171656687,0.5603168606758118,0.7465069860279441,0.65,20,1002,convnext_tiny_epoch020_20260524_142827,data/splits/test.csv,20,0.7890940039006102,0.9878973940993816,0.7584506748149702,0.8214285714285714,0.71875,0.7666666666666667,32,0.7741935483870968,0.9411764705882352,0.8495575221238938,51,0.7549019607843137,0.7,0.7264150943396226,110,0.5,0.9166666666666666,0.6470588235294118,12,0.6632653061224489,0.5803571428571429,0.6190476190476191,112,0.9185185185185184,0.9239940387481372,0.9212481426448736,671,0.8,0.8571428571428571,0.8275862068965517,14,34,8,2,0,1,2,4,mel->nv,34,4.5545263264607134e-05
{},artifacts/runs/convnext_tiny_ep50_recipe_ws,True,True,True,True,True,True,convnext_tiny,cross_entropy,False,True,0.05,cosine_warmup,0.0001,5e-05,50,17,True,17,val_macro_f1,0.7880452259286763,0.7292218529070792,0.8199079488258806,0.7618799047189666,0.8173652694610778,0.8875463008880615,0.11477045908183632,0.65,9,1002,convnext_tiny_epoch009_20260524_150421,data/splits/test.csv,9,0.7880452259286763,0.9780954435355216,0.762574551352369,0.7,0.65625,0.6774193548387096,32,0.7419354838709677,0.9019607843137256,0.8141592920353983,51,0.8181818181818182,0.5727272727272728,0.6737967914438503,110,0.7333333333333333,0.9166666666666666,0.8148148148148148,12,0.4788732394366197,0.6071428571428571,0.5354330708661418,112,0.9103343465045592,0.8926974664679582,0.9014296463506396,671,0.6111111111111112,0.7857142857142857,0.6875,14,38,4,0,2,0,4,1,nv->mel,52,7.986239736410308e-05
{},artifacts/runs/convnext_tiny_ep50_recipe_focal,True,True,True,True,True,True,convnext_tiny,focal,False,False,0.0,cosine_warmup,0.0001,5e-05,50,23,True,23,val_macro_f1,0.783586438086075,0.7007385382929175,0.8350777682632535,0.6902564938046754,0.8373253493013972,0.8769080638885498,0.1407185628742515,0.65,15,1002,convnext_tiny_epoch015_20260524_151913,data/splits/test.csv,15,0.783586438086075,0.9828531948093356,0.7296813902083648,0.75,0.65625,0.7,32,0.6351351351351351,0.9215686274509804,0.752,51,0.797752808988764,0.6454545454545455,0.7135678391959799,110,0.8,0.3333333333333333,0.4705882352941176,12,0.5625,0.5625,0.5625,112,0.9147058823529411,0.9269746646795828,0.92079940784604,671,0.7857142857142857,0.7857142857142857,0.7857142857142857,14,38,8,0,0,0,5,6,mel->nv,38,6.197509743824266e-05
{},artifacts/runs/convnext_tiny_ep30_cw,True,True,True,True,True,True,convnext_tiny,cross_entropy,True,False,,cosine,0.0001,0.0001,30,20,True,20,val_macro_f1,0.768662893396576,0.7494741946898555,0.8270697705882174,0.7829648625471053,0.8213572854291418,0.9149625897407532,0.09381237524950099,0.65,15,1002,convnext_tiny_epoch015_20260506_082006,data/splits/test.csv,15,0.768662893396576,0.9157470616008968,0.7270699091744496,0.6666666666666666,0.75,0.7058823529411765,32,0.7384615384615385,0.9411764705882352,0.8275862068965517,51,0.64,0.7272727272727273,0.6808510638297872,110,0.8888888888888888,0.6666666666666666,0.7619047619047619,12,0.5153846153846153,0.5982142857142857,0.5537190082644629,112,0.9418416801292409,0.8688524590163934,0.903875968992248,671,0.7222222222222222,0.9285714285714286,0.8125,14,28,12,0,0,1,3,3,nv->mel,51,
{},artifacts/runs/efficientnet_b0_ep30_cw,True,True,True,True,True,True,efficientnet_b0,{},True,{},,{},0.0003,0.0001,30,13,True,13,val_macro_f1,0.7030557029391805,0.6312789043499516,0.7949846912635454,0.6769975538650631,0.781437125748503,0.8755273222923279,0.14570858283433133,0.65,8,1002,efficientnet_b0_epoch008_20260506_054937,data/splits/test.csv,8,0.7030557029391805,0.8903513382586775,0.6821682671582019,0.5151515151515151,0.53125,0.5230769230769231,32,0.6785714285714286,0.7450980392156863,0.7102803738317757,51,0.6102941176470589,0.7545454545454545,0.6747967479674797,110,0.5555555555555556,0.4166666666666667,0.4761904761904761,12,0.41875,0.5982142857142857,0.4926470588235294,112,0.958974358974359,0.8360655737704918,0.893312101910828,671,0.5217391304347826,0.8571428571428571,0.6486486486486487,14,19,20,0,1,3,3,4,nv->mel,67,
