class,precision,recall,f1,support
akiec,0.5151515151515151,0.53125,0.5230769230769231,32
bcc,0.6785714285714286,0.7450980392156863,0.7102803738317757,51
bkl,0.6102941176470589,0.7545454545454545,0.6747967479674797,110
df,0.5555555555555556,0.4166666666666667,0.47619047619047616,12
mel,0.41875,0.5982142857142857,0.49264705882352944,112
nv,0.958974358974359,0.8360655737704918,0.893312101910828,671
vasc,0.5217391304347826,0.8571428571428571,0.6486486486486487,14
